reservorio	fecha	agua_caida
MELADO	2017-02-26	0,0
PANGUE	2017-02-26	0,0
PILMAIQUEN	2017-02-26	0,0
PULLINQUE	2017-02-26	0,0
RAPEL	2017-02-26	0,0
SAUZAL	2017-02-26	0,0
ACONCAGUA	2017-02-27	0,0
CHAPO	2017-02-27	0,0
COLBÚN	2017-02-27	0,0
INVERNADA	2017-02-27	0,0
LAJA	2017-02-27	0,0
LOS MOLLES	2017-02-27	0,0
MELADO	2017-02-27	0,0
PANGUE	2017-02-27	0,0
PILMAIQUEN	2017-02-27	0,0
PULLINQUE	2017-02-27	0,0
RAPEL	2017-02-27	0,0
SAUZAL	2017-02-27	0,0
ACONCAGUA	2017-02-28	0,3
CHAPO	2017-02-28	30,0
COLBÚN	2017-02-28	0,0
INVERNADA	2017-02-28	0,0
LAJA	2017-02-28	8,4
LOS MOLLES	2017-02-28	0,0
MELADO	2017-02-28	0,0
PANGUE	2017-02-28	19,9
PILMAIQUEN	2017-02-28	0,0
PULLINQUE	2017-02-28	17,6
RAPEL	2017-02-28	0,0
SAUZAL	2017-02-28	0,0
ACONCAGUA	2017-03-01	0,0
CHAPO	2017-03-01	12,5
COLBÚN	2017-03-01	0,75
INVERNADA	2017-03-01	1,5
LAJA	2017-03-01	4,5
LOS MOLLES	2017-03-01	0,0
MELADO	2017-03-01	5,0
PANGUE	2017-03-01	4,0
PILMAIQUEN	2017-03-01	0,0
PULLINQUE	2017-03-01	0,0
RAPEL	2017-03-01	0,0
SAUZAL	2017-03-01	0,0
ACONCAGUA	2017-03-02	0,0
CHAPO	2017-03-02	8,0
COLBÚN	2017-03-02	0,75
INVERNADA	2017-03-02	0,0
LAJA	2017-03-02	0,0
LOS MOLLES	2017-03-02	0,0
MELADO	2017-03-02	0,0
PANGUE	2017-03-02	0,0
PILMAIQUEN	2017-03-02	5,3
PULLINQUE	2017-03-02	7,0
RAPEL	2017-03-02	0,0
SAUZAL	2017-03-02	0,0
ACONCAGUA	2017-03-03	0,0
CHAPO	2017-03-03	0,0
COLBÚN	2017-03-03	0,25
INVERNADA	2017-03-03	0,0
LAJA	2017-03-03	0,0
